policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
champion,14,cross_xy,factory_prepolish,5,19097,success,True,True,2663,2566,0,-0.29027834542478964,0.4843951563301545,74.61529109221243,76.6902876709999,0.11057408686627052,0.08696032342635478,0.8079303876596391,0.7199299387566567,0.0,0.0,43.51057364796334,26.12660366620584,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,6,19194,success,True,True,2663,2566,0,-0.2902814852108062,0.4844109975123289,70.14999907549654,72.21490853873088,0.11023288806246842,0.08847121135607423,0.8405489406218688,0.7214266732630024,0.28917726760794377,0.24077732358525883,41.381335643626336,26.1295046030242,97.19,97.19,67.0,92.05000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.69,99.69,95.25,99.55,97.19,97.19,67.0,92.05000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.3,97.3,67.25,93.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.87,99.87,98.0,100.0,97.3,97.3,67.25,93.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,4,19000,success,True,True,2664,2567,0,-0.2901783366505806,0.4835964713368688,75.03851158171884,76.78233750856347,0.11780990079362255,0.09341184097119172,0.8671458213134915,0.7479472664816151,0.0,0.0,41.80107263929668,26.12875585375901,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,7,19291,success,True,True,2664,2567,0,-0.2901703367854382,0.4836957102960294,75.70376451258022,76.89503662833994,0.10524014138514048,0.08283747157889677,0.8299182255362022,0.6969791279667037,0.0,0.0,42.18232930402687,26.128714321349385,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish_deep_defect,9,19097,success,True,True,2999,2902,0,-0.047989218763785986,0.2056113370719374,72.44205205235725,74.78943652471992,0.11279228068621698,0.09284875100885727,0.9672641272127773,0.8728744081685208,0.7855597392315528,0.7434505211423338,43.51054255946327,28.747639002495475,98.59,98.59,79.25,100.0,99.76,99.76,97.0,100.0,100.0,100.0,100.0,100.0,99.92,99.92,98.25,100.0,98.59,98.59,79.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.61,98.61,79.25,100.0,99.83999999999999,99.84,97.75,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,98.61,98.61,79.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish_deep_stress,13,19097,success,True,True,3003,2906,0,-0.045242889512291835,0.20250335056861957,72.34807739847875,74.6126339452464,0.11407069212866554,0.09487689468040068,1.0588154102507596,0.9681705103122138,1.1925491513279785,1.1119126824932901,43.510547313800515,28.74874108110516,98.5,98.5,77.25,100.0,99.35000000000001,99.35,91.25,100.0,100.0,100.0,100.0,100.0,99.92,99.92,98.25,100.0,98.5,98.5,77.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.52,98.52,77.75,100.0,99.49,99.49,93.0,100.0,100.0,100.0,100.0,100.0,99.95,99.95,98.75,100.0,98.52,98.52,77.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish_deep_defect,11,19291,success,True,True,3058,2961,0,-0.012416620626119791,0.16366890750635363,73.70654599329184,75.38961004785934,0.10664487206033034,0.10325771023565043,0.9321644607550024,0.8640255089112424,0.670565763684712,0.5787083355324377,42.18232390405194,29.090550254733355,98.6,98.6,68.5,100.0,99.89,99.89,97.25,100.0,100.0,100.0,100.0,100.0,99.89,99.89,97.25,100.0,98.6,98.6,68.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.7,98.7,71.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,98.7,98.7,71.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish_deep_stress,15,19291,success,True,True,3067,2970,0,-0.006152739718600131,0.15713568986978055,73.70482648029314,75.26325191568645,0.10756782048747952,0.10554501068670011,1.0096688083046845,0.9483578733187178,1.0553568569102711,0.9471820420100641,42.18231575623433,29.130681904082024,98.45,98.45,66.5,99.25,99.64,99.64,91.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,97.5,100.0,98.45,98.45,66.5,99.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.46000000000001,98.46,66.75,99.25,99.72999999999999,99.73,93.25,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,98.46000000000001,98.46,66.75,99.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish_deep_defect,10,19194,success,True,True,3177,3080,0,0.059320604096222196,0.08213810135367385,68.64516341932196,71.77454526215877,0.11245707156919005,0.11401757902028581,1.105720035881753,1.0719391391923563,0.964124708207663,0.8219986123587175,41.38136324739196,29.30001614416515,96.09,96.09,63.0,86.0,99.76,99.76,96.25,100.0,100.0,100.0,100.0,100.0,99.61,99.61,95.25,98.65,96.09,96.09,63.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.45,96.45,67.5,87.2,99.89,99.89,98.0,100.0,100.0,100.0,100.0,100.0,99.88,99.88,98.0,100.0,96.45,96.45,67.5,87.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish_deep_stress,14,19194,success,True,True,3182,3085,0,0.06234141439667743,0.0789032570928766,68.5529079764448,71.47263845949198,0.1136875102613354,0.11628076593304118,1.4804615207638756,1.4605475393791463,1.4428340543347902,1.2780162191310207,41.38150337297406,29.284276006260818,96.00999999999999,96.01,62.5,85.1,99.21,99.21,88.0,100.0,100.0,100.0,100.0,100.0,99.63,99.63,95.25,98.65,96.00999999999999,96.01,62.5,85.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.35000000000001,96.35,65.25,87.05,99.42999999999999,99.43,90.5,100.0,100.0,100.0,100.0,100.0,99.87,99.87,98.0,100.0,96.35000000000001,96.35,65.25,87.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
